source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
3,2,detail,Bvard. Gaillard N° 1139,48,379,2,gru+manz+parc,3,0100011010480379--002--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,28216,0100011010480379--002--,0100011010480379--002--,matches_source_ncp,101,48,379,2,-58.15770947,-32.22609294,-58.15770947,-32.22609294,automatic,,,yes,yes,yes,"Gaillard 1139, Colón",matched_ign,"AMILCAR GAILLARD 1139, Colón, Entre Ríos",-58.15769663,-32.22659514,55.86,55.86,verified_close,verified_close
4,3,detail,"25 de Mayo Nº 184, 186, 190",,133,,manz,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"25 de Mayo 184, Colón",matched_ign,"25 DE MAYO 184, Colón, Entre Ríos",-58.13825265,-32.22514903,,,missing_cadastral_point,missing_cadastral_point
5,4,detail,Piamonte N° 381,,379,1,manz+parc,2,0100011010480379--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28135,0100011010480379--001--,0100011010480379--001--,matches_source_ncp,101,48,379,1,-58.15808523,-32.22594120,-58.15808523,-32.22594120,automatic,,,yes,yes,yes,"Piamonte 381, Colón",matched_ign,"PIAMONTE 381, Colón, Entre Ríos",-58.15887944,-32.22574620,77.79,77.79,verified_nearby,verified_nearby
6,5,detail,F. Domichin s/N°,327,11,11,gru+manz+parc,3,0100010123270011--011--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36225,0100010123270011--011--,0100010123270011--011--,matches_source_ncp,12,327,11,11,-58.16171253,-32.22756122,-58.16171253,-32.22756122,automatic,,,yes,yes,no,"F. Domichin °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
7,6,detail,Bvard. Ferrari Nº 769,,28,18,manz+parc,2,0100010000000028--018--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,32068,0100010000000028--018--,0100010000000028--018--,matches_source_ncp,0,0,28,18,-58.14192078,-32.23143297,-58.14192078,-32.23143297,automatic,,,yes,yes,yes,"Boulevard Ferrari 769, Colón",matched_ign,"BV FERRARI 769, Colón, Entre Ríos",-58.14168079,-32.23163143,31.57,31.57,verified_close,verified_close
8,7,detail,Andrade N° 261,,135,26,manz+parc,2,0100010000000135--026--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,37159,0100010000000135--026--,0100010000000135--026--,matches_source_ncp,0,0,135,26,-58.13651888,-32.22578190,-58.13651888,-32.22578190,automatic,,,yes,yes,yes,"Andrade 261, Colón",matched_ign,"OLEGARIO V ANDRADE 261, Colón, Entre Ríos",-58.13631482,-32.22560741,27.29,27.29,verified_close,verified_close
9,8,detail,"12 de Abril esq. 25 de Mayo N° 08, 14",,130,15 - UF 02,manz+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"de Abril 25, Colón",matched_ign,"12 DE ABRIL 25, Colón, Entre Ríos",-58.13409671,-32.21833235,,,missing_cadastral_point,missing_cadastral_point
10,9,detail,Avda Paysandú N° 1024,,435,1,manz+parc,2,0100011010620435--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28727,0100011010620435--001--,0100011010620435--001--,matches_source_ncp,101,62,435,1,-58.15682625,-32.22406627,-58.15682625,-32.22406627,automatic,,,yes,yes,yes,"Avenida Paysandú 1024, Colón",matched_ign,"AV PAYSANDU 1024, Colón, Entre Ríos",-58.15718103,-32.22367808,54.56,54.56,verified_close,verified_close
11,10,detail,San Martín Nª 702 esq. Salta N° 46,,36,20,manz+parc,2,0100010000000036--020--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,33605,0100010000000036--020--,0100010000000036--020--,matches_source_ncp,0,0,36,20,-58.14583729,-32.22568307,-58.14583729,-32.22568307,automatic,,,yes,yes,yes,"San Martín 702, Colón",matched_ign,"AV SAN MARTIN 702, Colón, Entre Ríos",-58.14585246,-32.22550739,19.59,19.59,verified_close,verified_close
12,11,detail,Calle Pública S/N° (Loteo Luna),111,1,1,gru+manz+parc,3,0100010151110001--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35115,0100010151110001--001--,0100010151110001--001--,matches_source_ncp,15,111,1,1,-58.21047633,-32.26833352,-58.21047633,-32.26833352,automatic,,,yes,yes,no,"Calle Pública ° Loteo Luna, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
13,12,detail,A. Peyret Nº 210,,209,3,manz+parc,2,0100010000000209--003--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31276,0100010000000209--003--,0100010000000209--003--,matches_source_ncp,0,0,209,3,-58.13778014,-32.21569897,-58.13778014,-32.21569897,automatic,,,yes,yes,yes,"Peyret 210, Colón",matched_ign,"ALEJO PEYRET 210, Colón, Entre Ríos",-58.13751429,-32.21562138,26.46,26.46,verified_close,verified_close
14,13,detail,"Gral. Paz Nº 32 , 34 (40)",,88,2,manz+parc,2,0100010000000088--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28596,0100010000000088--002--,0100010000000088--002--,matches_source_ncp,0,0,88,2,-58.14284645,-32.22373921,-58.14284645,-32.22373921,automatic,,,yes,yes,no,"General Paz 32, 34 40, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
15,14,detail,"San Martìn Nª 491, 493",,100,10,manz+parc,2,0100010000000100--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28833,0100010000000100--010--,0100010000000100--010--,matches_source_ncp,0,0,100,10,-58.14287124,-32.22312988,-58.14287124,-32.22312988,automatic,,,yes,yes,yes,"San Martìn 491, Colón",matched_ign,"AV SAN MARTIN 491, Colón, Entre Ríos",-58.14272765,-32.22329723,22.99,22.99,verified_close,verified_close
16,15,detail,"Sourigues N° 126, 130, 132, 136",,99,2,manz+parc,2,0100010000000099--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29408,0100010000000099--002--,0100010000000099--002--,matches_source_ncp,0,0,99,2,-58.14339307,-32.22170018,-58.14339307,-32.22170018,automatic,,,yes,yes,yes,"Sourigues 126, Colón",matched_ign,"SOURIGUES 126, Colón, Entre Ríos",-58.14314568,-32.22168504,23.33,23.33,verified_close,verified_close
17,16,detail,Leprati s/N°,331,3,7,gru+manz+parc,3,0100010063310003--007--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36679,0100010063310003--007--,0100010063310003--007--,matches_source_ncp,6,331,3,7,-58.17120670,-32.21059358,-58.17120670,-32.21059358,automatic,,,yes,yes,no,"Leprati °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
18,17,detail,Rocamora N° 722,,559,15,manz+parc,2,0100010000000559--015--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29824,0100010000000559--015--,0100010000000559--015--,matches_source_ncp,0,0,559,15,-58.15106636,-32.22084448,-58.15106636,-32.22084448,automatic,,,yes,yes,yes,"Rocamora 722, Colón",matched_ign,"TOMAS DE ROCAMORA 722, Colón, Entre Ríos",-58.15124304,-32.22068476,24.32,24.32,verified_close,verified_close
19,18,detail,Calle Pública s/N°,355,1,5,gru+manz+parc,3,0100010063550001--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33041,0100010063550001--005--,0100010063550001--005--,matches_source_ncp,6,355,1,5,-58.16101109,-32.20863932,-58.16101109,-32.20863932,automatic,,,yes,yes,no,"Calle Pública °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
21,20,detail,M. M. Moreno N° 1186 y F. Gomez Miranda,,341,6,manz+parc,2,0100010000000341--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,36010,0100010000000341--006--,0100010000000341--006--,matches_source_ncp,0,0,341,6,-58.15243065,-32.23336156,-58.15243065,-32.23336156,automatic,,,yes,yes,no,"M. Mariano Moreno 1186 y F. Gomez Miranda, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
22,21,detail,Alberdi N° 273,,152,10 y 19,manz+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Alberdi 273, Colón",matched_ign,"ALBERDI 273, Colón, Entre Ríos",-58.14191001,-32.21774142,,,missing_cadastral_point,missing_cadastral_point
23,22,detail,Bvard. Gaillard Nº 1181,34,351,12,gru+manz+parc,3,0100011010340351--012--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36395,0100011010340351--012--,0100011010340351--012--,matches_source_ncp,101,34,351,12,-58.15866305,-32.22687510,-58.15866305,-32.22687510,automatic,,,yes,yes,yes,"Gaillard 1181, Colón",matched_ign,"AMILCAR GAILLARD 1181, Colón, Entre Ríos",-58.15901426,-32.22752429,79.39,79.39,verified_nearby,verified_nearby
24,23,detail,Avda Los Lapachos s/N°,,3,8,manz+parc,2,,ambiguous_source_components,manz_parc,13,low,ambiguous_match_by_manz_parc,26094,0100010113100003--008--,0100010113100003--008--,matches_source_ncp,11,310,3,8,-58.16792781,-32.23184555,-58.16792781,-32.23184555,automatic,,,yes,yes,no,"Avenida Los Lapachos °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
25,24,detail,Conte Grand N° 476,49,381,3,gru+manz+parc,3,0100011010490381--003--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,32768,0100011010490381--003--,0100011010490381--003--,matches_source_ncp,101,49,381,3,-58.15915048,-32.22440160,-58.15915048,-32.22440160,automatic,,,yes,yes,yes,"Conte Grand 476, Colón",matched_ign,"J CONTE GRAND 476, Colón, Entre Ríos",-58.15882491,-32.22422975,36.10,36.10,verified_close,verified_close
26,25,detail,Calle Pùblica s/Nº,355,14,8,gru+manz+parc,3,0100010063550014--008--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35314,0100010063550014--008--,0100010063550014--008--,matches_source_ncp,6,355,14,8,-58.15942358,-32.20702509,-58.15942358,-32.20702509,automatic,,,yes,yes,no,"Calle Pùblica º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
27,26,detail,Paso de los Andes N° 269,,151,20,manz+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Paso de los Andes 269, Colón",matched_ign,"PASO DE LOS ANDES 269, Colón, Entre Ríos",-58.15192014,-32.22373160,,,missing_cadastral_point,missing_cadastral_point
28,27,detail,"Calle Hugo ""Pocho"" Lapratti s/N°",331,6,4,gru+manz+parc,3,0100010063310006--004--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36384,0100010063310006--004--,0100010063310006--004--,matches_source_ncp,6,331,6,4,-58.17182768,-32.21101845,-58.17182768,-32.21101845,automatic,,,yes,yes,no,"Calle Hugo ""Pocho"" Lapratti °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
29,28,detail,Dominchin s/N°,327,10,9,gru+manz+parc,3,0100010123270010--009--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,34804,0100010123270010--009--,0100010123270010--009--,matches_source_ncp,12,327,10,9,-58.16136955,-32.22949365,-58.16136955,-32.22949365,automatic,,,yes,yes,no,"Dominchin °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
30,29,detail,"Bvard. Sanguinetti N° 185, 187, 189 e/ Gouchón y Chacabuco",,11,13,manz+parc,2,,ambiguous_source_components,manz_parc,3,low,ambiguous_match_by_manz_parc,28193,0100010000000011--013--,0100010000000011--013--,matches_source_ncp,0,0,11,13,-58.15015201,-32.22522959,-58.15015201,-32.22522959,automatic,,,yes,yes,no,"Sanguinetti 185, Colón",matched_ign,"INT SANGUINETTI 185, Colón, Entre Ríos",-58.15034743,-32.22543343,29.18,29.18,verified_close,verified_close
31,30,detail,Camino B. Horne s/Nº,50,,7,gru+parc,2,,ambiguous_source_components,gru_parc,2,low,ambiguous_match_by_gru_parc,35493,0100010030500000--007--,0100010030500000--007--,matches_source_ncp,3,50,0,7,-58.23520984,-32.24419165,-58.23520984,-32.24419165,automatic,,,yes,yes,no,"Camino B. Horne º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
32,31,detail,Maipú N° 270,,124,21,manz+parc,2,0100010000000124--021--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,24403,0100010000000124--021--,0100010000000124--021--,matches_source_ncp,0,0,124,21,-58.14374880,-32.21849468,-58.14374880,-32.21849468,automatic,,,yes,yes,yes,"Maipú 270, Colón",matched_ign,"MAIPU 270, Colón, Entre Ríos",-58.14350912,-32.21839340,25.20,25.20,verified_close,verified_close
