source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
2,1,detail,Ruta N° 135,30,324,9,gru+manz+parc,3,0100010000000324--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,34187,0100010000000324--009--,0100010000000324--009--,matches_source_ncp,0,0,324,9,-58.15862883,-32.22812700,-58.15862883,-32.22812700,automatic,,,yes,yes,no,"Ruta 135, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
3,1,detail_continuation,PeriUrbana,32,82,33,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"PeriUrbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
4,2,detail,Sarmiento Nº 88,6,161,156,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Sarmiento 88, Colón",matched_ign,"SARMIENTO 88, Colón, Entre Ríos",-58.13919914,-32.21979358,,,missing_cadastral_point,missing_cadastral_point
5,3,detail,"Maipú Nª 525, 529 (antes 535)",2,631,712,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Maipú 525, Colón",matched_ign,"MAIPU 525, Colón, Entre Ríos",-58.14725102,-32.21463555,,,missing_cadastral_point,missing_cadastral_point
6,4,detail,Camino Bernardino Horne s/N°,33,330,1,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Camino Bernardino Horne °, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
7,5,detail,9 de Julio N° 68,1,291,117,gru+manz+parc,3,0100010190010000--117--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,36625,0100010190010000--117--,0100010190010000--117--,matches_source_ncp,19,1,0,117,-58.24108433,-32.29630421,-58.24108433,-32.29630421,automatic,,,yes,yes,yes,"9 de Julio 68, Colón",matched_ign,"9 DE JULIO 68, Colón, Entre Ríos",-58.14144163,-32.22193581,12496.83,12496.83,review_large_gap,review_large_gap
8,6,detail,Celia Pellenc N°,9,646,508,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Celia Pellenc, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
9,7,detail,Calle Chaiñar esq Madres y Abuelas de P. de Mayo,31,355,6,gru+manz+parc,3,0100011010360355--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,32931,0100011010360355--006--,0100011010360355--006--,matches_source_ncp,101,36,355,6,-58.16124962,-32.22376611,-58.16124962,-32.22376611,automatic,,,yes,yes,no,"Calle Chaiñar esq Madres y Abuelas de P. de Mayo, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
10,7,detail_continuation,,31,805,4,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
11,8,detail,San Martín N° 567 - 571,713,76,76,gru+manz+parc,3,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"San Martín 567, Colón",matched_ign,"AV SAN MARTIN 567, Colón, Entre Ríos",-58.14374178,-32.22401838,,,missing_cadastral_point,missing_cadastral_point
