prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
critica,geolocalizacion,3,1,,PeriUrbana,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,6,4,"MAIL, 549161",Camino Bernardino Horne s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,8,6,"mail, 549039",Celia Pellenc N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,10,7,,,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,12,9,"MAIL, 548907",Calle Pública s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,15,12,"mail, 549456",Urbana 2,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,18,15,549618,Chacabico Nº 627,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,20,17,"mail, 549520",Juan Manuel de Rosas N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,22,19,"mail, 549765",Urbana 2,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,23,20,544391,Domingo Antonini N° 89,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,27,24,550241,Araujo Pen{on N° 285,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,29,26,550237,Madre Isabel Fernandez Nª 312 esq Mitre,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,32,29,549904,Calle Pública s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,34,30,547818,Residencial Norte,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,39,35,"mail, 550855",Urbana 1,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,41,37,548344,Combatientes de Malvinas N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,45,41,550867,3 de Febrero N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,46,42,"mail, 547266",Primeros Colonos esq Agua-I,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,49,45,549963,Piamonte s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,51,47,547346,Azurduy esq Espinillo,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,52,48,549704,Calle Brovatti S/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
critica,geolocalizacion,53,49,543251,Calle Pública s/N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
