prioridad,source_row_number,legajo_canonico,ubicacion,match_method,match_count,confidence,location_verification_status,address_geocode_status,reason
critica,3,1,PeriUrbana,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,6,4,Camino Bernardino Horne s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,8,6,Celia Pellenc N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,10,7,,none,0,low,missing_both_points,missing_address,no_cadastral_match
critica,12,9,Calle Pública s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,15,12,Urbana 2,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,18,15,Chacabico Nº 627,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,20,17,Juan Manuel de Rosas N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,22,19,Urbana 2,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,23,20,Domingo Antonini N° 89,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,27,24,Araujo Pen{on N° 285,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,29,26,Madre Isabel Fernandez Nª 312 esq Mitre,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,32,29,Calle Pública s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,34,30,Residencial Norte,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,39,35,Urbana 1,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,41,37,Combatientes de Malvinas N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,45,41,3 de Febrero N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,46,42,Primeros Colonos esq Agua-I,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,49,45,Piamonte s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,51,47,Azurduy esq Espinillo,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,52,48,Calle Brovatti S/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,53,49,Calle Pública s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,56,52,Hornero s/Nº,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,60,56,Ñandubay N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,66,62,Bvard Ferrari N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,67,63,Bolívar N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,70,66,Jacarandaes esq Coronillos ( Los Bretes),none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,71,67,Avda Quiròs Nº 280 esq Mitre,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,73,69,Sourigues N° 610 e/ C de Malvinas y Cepeda,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,78,74,Alfredo Bravo s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,79,76,Salsipuedes N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,80,75,Calle Privada s/N° (Los Bretes),none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,82,78,Gómez Miranda N° 148 esq Noailles,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,83,79,Calle Artalaz s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,86,83,Bolívar N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,89,88,Noailles N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,95,91,Urbana 2,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,97,93,Viollaz N° 232,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,99,95,Calle Pública s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,106,105,Cabo Pereyra N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,107,102,Paje Villalba N° 672,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,108,103,Los Charrúas s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,114,110,Camino Horne s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,121,116,Calle Pública s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,125,121,Calle Primeros Colonos s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,127,122,"Ruta Nac N° 135, km",none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,128,124,"Gral Paz Nº 162, 164",none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,136,132,Florentina Gomez Miranda N° 120,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,142,138,Calle provada s/N° - Los Bretes,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,143,140,Urbana 2,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,148,143,Durand N° 457 es Pasaje s/nombre,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,152,148,Calle Privada s/N° - Los Bretes,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,160,156,Salsipuedes s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,161,157,Florentina Gomez Miranda N° 117,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,166,162,Calle Paraiso ( Loteo Aires de 1872),none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,178,173,General Paz N° 136,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,181,176,María Isabel Fernandez s/N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,190,183,Paso de los Andes Nº,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,198,189,Castelli N°,none,0,low,missing_both_points,no_ign_match,no_cadastral_match
critica,202,191,,none,0,low,missing_both_points,missing_address,no_cadastral_match
alta,4,2,Sarmiento Nº 88,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,5,3,"Maipú Nª 525, 529 (antes 535)",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,11,8,San Martín N° 567 - 571,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,13,10,Laprida N° 227,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,14,11,Gouchón N° 253 esq Sarmiento,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,16,13,"Vieytes Nº 41 esq Gra Urquiza Nº 653, 657, 659",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,17,14,Laprida N° 122,none,0,low,verified_close,matched_ign,no_cadastral_match
