source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
3,1,PeriUrbana,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
4,2,Sarmiento Nº 88,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
5,3,"Maipú Nª 525, 529 (antes 535)",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
6,4,Camino Bernardino Horne s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
8,6,Celia Pellenc N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
10,7,,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
11,8,San Martín N° 567 - 571,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
12,9,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
13,10,Laprida N° 227,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
14,11,Gouchón N° 253 esq Sarmiento,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
15,12,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
16,13,"Vieytes Nº 41 esq Gra Urquiza Nº 653, 657, 659",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
17,14,Laprida N° 122,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
18,15,Chacabico Nº 627,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
19,16,Peyret N° 210,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
20,17,Juan Manuel de Rosas N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
21,18,Maipú N° 470,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
22,19,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
23,20,Domingo Antonini N° 89,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
24,21,Rocamora N° 416,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
25,22,Gouchon N° 418,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
26,23,Calle Pública s/N° - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
27,24,Araujo Pen{on N° 285,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
28,25,"Ruta N° 14, km",geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
29,26,Madre Isabel Fernandez Nª 312 esq Mitre,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
30,27,Hernandez N° 282,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
31,28,Bvard. Ferrari N° 1190,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
32,29,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
34,30,Residencial Norte,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
35,31,"Lavalle N° 122, 122",geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
36,32,Noailles N° 239 esq L. N. Alema,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
37,33,9 de Julio Nº 363,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
38,34,Raibel N° 780 esq Leguizamón,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
39,35,Urbana 1,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
40,36,25 de Mayo N° 464,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
41,37,Combatientes de Malvinas N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
44,40,Avda Paysandù Nº 274,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
45,41,3 de Febrero N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
46,42,Primeros Colonos esq Agua-I,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
47,43,Primeros Colonos esq. Calle Pública,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
48,44,Calle Jacarandaes s/Nº - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
49,45,Piamonte s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
50,46,Tucumán Nº 1422,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
51,47,Azurduy esq Espinillo,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
52,48,Calle Brovatti S/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
53,49,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
54,50,Avda Paysandú Nº 1170,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
55,51,Combatientes de Malvinas N° 980,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
56,52,Hornero s/Nº,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
57,53,M. M. Lima N° 1081,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
