source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
2,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
4,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
5,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
6,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
7,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
8,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
9,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
11,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
12,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
13,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
14,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
15,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
16,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
17,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
18,,,lectura,invalid_ar_date,Fecha de ingreso invalida para formato AR (dd/mm/aaaa).,warning,,,
18,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
19,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
20,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
21,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
22,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
23,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
24,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
25,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
26,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
27,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
28,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
29,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
30,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
31,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
32,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
33,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
35,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
36,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
37,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
38,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
39,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
40,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
41,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
42,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
43,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
44,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
45,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
46,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
47,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
48,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
49,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
50,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
51,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
52,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
53,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
54,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
55,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
56,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
57,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
58,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
59,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
60,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
61,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
62,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
63,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
64,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
65,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
66,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
67,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
68,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
69,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
70,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
71,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
72,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
