source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
2,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
3,1,PeriUrbana,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
4,2,Sarmiento Nº 88,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
4,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
5,3,"Maipú Nª 525, 529 (antes 535)",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
5,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
6,4,Camino Bernardino Horne s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
6,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
7,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
8,6,Celia Pellenc N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
8,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
9,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
10,7,,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
11,8,San Martín N° 567 - 571,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
11,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
12,9,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
12,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
13,10,Laprida N° 227,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
13,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
14,11,Gouchón N° 253 esq Sarmiento,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
14,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
15,12,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
15,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
16,13,"Vieytes Nº 41 esq Gra Urquiza Nº 653, 657, 659",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
16,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
17,14,Laprida N° 122,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
17,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
18,15,Chacabico Nº 627,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
18,,,lectura,invalid_ar_date,Fecha de ingreso invalida para formato AR (dd/mm/aaaa).,warning,,,
18,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
19,16,Peyret N° 210,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
19,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
20,17,Juan Manuel de Rosas N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
20,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
21,18,Maipú N° 470,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
21,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
22,19,Urbana 2,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
22,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
23,20,Domingo Antonini N° 89,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
23,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
24,21,Rocamora N° 416,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
24,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
25,22,Gouchon N° 418,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
25,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
26,23,Calle Pública s/N° - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
26,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
27,24,Araujo Pen{on N° 285,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
27,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
28,25,"Ruta N° 14, km",geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
28,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
29,26,Madre Isabel Fernandez Nª 312 esq Mitre,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
29,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
30,27,Hernandez N° 282,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
30,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
31,28,Bvard. Ferrari N° 1190,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
31,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
32,29,Calle Pública s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
32,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
33,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
34,30,Residencial Norte,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
35,31,"Lavalle N° 122, 122",geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
35,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
36,32,Noailles N° 239 esq L. N. Alema,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
36,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
37,33,9 de Julio Nº 363,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
37,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
38,34,Raibel N° 780 esq Leguizamón,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
38,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
39,35,Urbana 1,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
39,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
40,36,25 de Mayo N° 464,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
40,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
41,37,Combatientes de Malvinas N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
41,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
42,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
43,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
44,40,Avda Paysandù Nº 274,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
44,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
45,41,3 de Febrero N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
45,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
46,42,Primeros Colonos esq Agua-I,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
46,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
47,43,Primeros Colonos esq. Calle Pública,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
47,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
48,44,Calle Jacarandaes s/Nº - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
48,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
49,45,Piamonte s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
49,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
50,46,Tucumán Nº 1422,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
50,,,lectura,invalid_ar_date,Fecha de visado invalida para formato AR (dd/mm/aaaa).,warning,,,
