priority_score,verification_status,source_row_number,legajo_canonico,confidence,match_method,match_count,address_vs_cadastral_distance_m,geolocation_source,raw_ubicacion,address_query,address_match_name,ncp_formatted,recommended_action
65,missing_address_point,5,2,medium,gru_parc,1,,automatic,Seraohin Degeneve s/Nº,"Seraohin Degeneve º, Colón",,0100010170020000--073--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,6,3,low,gru_parc,2,,automatic,Calle Privada s/Nº - Los Bretes,"Calle Privada º, Colón",,0100010052740000--001--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,9,6,medium,manz_parc,1,,automatic,Bvard Gaillard esq. Lavalle,"Boulevard Gaillard esq. Lavalle, Colón",,0100010000000751--003--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,10,7,high,gru_manz_parc,1,,automatic,Calle Pública s/Nº,"Calle Pública º, Colón",,0100010162230006--001--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,12,9,high,gru_manz_parc,1,,automatic,Rocamora Nº 1177 e/Piamonte y Penon,"Rocamora 1177 esq Piamonte y Penon, Colón",,0100011010340351--001--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,14,11,low,gru_parc,11,,automatic,Paso de los Andes s/Nº esq. Salsipuedes,"Paso de los Andes º esq. Salsipuedes, Colón",,0100010123270001--003--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,16,13,low,gru_parc,2,,automatic,Calle Pública s/Nº,"Calle Pública º, Colón",,0100010190010000--080--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,18,15,high,gru_manz_parc,1,,automatic,Madres y Abuelas de Plaza de Mayo s/Nº,"Madres y Abuelas de Plaza de Mayo º, Colón",,0100010063540003--002--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,19,16,high,gru_manz_parc,1,,automatic,Calle Pùblica s/Nº,"Calle Pùblica º, Colón",,0100010112250006--004--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,20,17,high,gru_manz_parc,1,,automatic,Calle Chaiñar esq Madres y Abuelas de P. de Mayo,"Calle Chaiñar esq Madres y Abuelas de P. de Mayo, Colón",,0100010063550006--005--,Normalizar direccion y reintentar geocodificacion.
65,missing_address_point,22,18,high,gru_manz_parc,1,,automatic,Florentina Gómez Miranda esq Mitre Nº 1257,"Florentina Gómez Miranda esq Mitre 1257, Colón",,0100011020270312--005--,Normalizar direccion y reintentar geocodificacion.
