ID,NCP,SEC,GRU,NMANZ,NPARC,ZONA_ACTIVIDAD,CATEGORIA_TRIBUTARIA_PRELIMINAR,COEFICIENTE,CRITERIO
24376,010001018003000000004--,18,3,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24377,0100010123240000023,12,324,0,0,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24378,0100010000000058--020--,0,0,58,20,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24379,0100010000000156--023--,0,0,156,23,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24380,0100010000000086--015--,0,0,86,15,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24381,0100010000000573--016--,0,0,573,16,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24382,0100010000000595--023--,0,0,595,23,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24383,0100010000000502--018--,0,0,502,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24384,0100010000000714--013--,0,0,714,13,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24385,0100010000000737--012--,0,0,737,12,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24386,0100010000000611--018--,0,0,611,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24387,0100010000000513--005--,0,0,513,5,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
